year,Forest area (% of land area)
1990,70.45802056
1991,70.00565437
1992,69.55328817
1993,69.10092198
1994,68.64855578
1995,68.19618958
1996,67.74382339
1997,67.29145719
1998,66.83909099
1999,66.3867248
2000,65.9343586
2001,65.4616709
2002,64.98898319
2003,64.51629549
2004,64.04360779
2005,63.57092009
2006,63.09823238
2007,62.62554468
2008,62.15285698
2009,61.68016927
2010,61.20748157
2011,61.02332816
2012,60.83917474
2013,60.65502133
2014,60.47086792
2015,60.28671451
2016,60.07103255
2017,59.83288148
2018,59.70842795
2019,59.55852618
2020,59.41747805
